"Farm asset","Asset ID","","Name","Crop/variety","Season","Description","Flags","Group","Location","Archived"
"","23","","2019  EiraField Apples Anna","Apples Anna","2019","15 Trees planted in bed #1, from north end on 2019.02.21 ; will plant another 5 in winter 2020","","","EiraField",""
"","24","","2019 EiraField Apples  Jersey Mac","Apples  Jersey Mac","2019","Planted 2 at S. end of Bed #2 on 2019.02.21","","","EiraField",""
"","27","","2019 EiraField Apples Fuji","Apples Fuji","2019","","","","EiraField",""
"","25","","2019 EiraField Apples Golden Dorsett","Apples Golden Dorsett","2019","","","","EiraField",""
"","29","","2019 EiraField Apples Granny Smith","Apples Granny Smith","2019","","","","EiraField",""
"","28","","2019 EiraField Apples Pink Lady TM","Apples Pink Lady TM","2019","","","","EiraField",""
"","26","","2019 EiraField Apples Royal Gala Riscada","Apples Royal Gala Riscada","2019","","","","EiraField",""
"","65","","2019 EiraField Apricots A35","Apricots A35","2019","","","","EiraField",""
"","66","","2019 EiraField Apricots A35","Apricots A35","2019","","","","EiraField",""
"","67","","2019 EiraField Apricots A35","Apricots A35","2019","","","","EiraField",""
"","63","","2019 EiraField Apricots Bulida","Apricots Bulida","2019","","","","EiraField",""
"","64","","2019 EiraField Apricots Bulida","Apricots Bulida","2019","","","","EiraField",""
"","59","","2019 EiraField Nectarines Fantasia","Nectarines Fantasia","2019","","","","EiraField",""
"","44","","2019 EiraField Peach Flordastar","Peach Flordastar","2019","","","","EiraField",""
"","46","","2019 EiraField Peaches Metheley","Plums Metheley","2019","","","","EiraField",""
"","47","","2019 EiraField Peaches SantaRosa","Peaches SantaRosa","2019","","","","EiraField",""
"","36","","2019 EiraField Pears Comice","Pears Comice","2019","","","","EiraField",""
"","33","","2019 EiraField Pears Nachi","Pears Nachi","2019","","","","EiraField",""
"","38","","2019 EiraField Pears Nachi","Pears Nachi","2019","","","","EiraField",""
"","37","","2019 EiraField Pears Nashi-Kumoi","Pears Nashi-Kumoi","2019","","","","EiraField",""
"","32","","2019 EiraField Pears Rocha","Pears Rocha","2019","","","","EiraField",""
"","60","","2019 EiraField Persimmons Charon","Persimmons Charon","2019","","","","EiraField",""
"","62","","2019 EiraField Persimmons CoroaDeRei","Persimmons CoroaDeRei","2019","","","","EiraField",""
"","61","","2019 EiraField Persimmons Fau-Fau","Persimmons Fau-Fau","2019","","","","EiraField",""
"","49","","2019 EiraField Plums BlackAmber (preto)","Plums BlackAmber (preto)","2019","","","","EiraField",""
"","55","","2019 EiraField Plums BlackAngelino (preto/ amarelo dentro)","Plums BlackAngelino (preto/ amarelo dentro)","2019","","","","EiraField",""
"","56","","2019 EiraField Plums ElephantHeart","Plums ElephantHeart","2019","","","","EiraField",""
"","54","","2019 EiraField Plums Friar (preta)","Plums Friar (preta)","2019","","","","EiraField",""
"","57","","2019 EiraField Plums GoldJapan (amarela)","Plums GoldJapan (amarela)","2019","","","","EiraField",""
"","48","","2019 EiraField Plums Pioneer","Plums Pioneer","2019","","","","EiraField",""
"","45","","2019 EiraField Plums RedBeauty (Vermelha)","Plums RedBeauty (Vermelha)","2019","","","","EiraField",""
"","58","","2019 EiraField Plums Sungold","Plums Sungold","2019","","","","EiraField",""
"","30","","2020 EiraField Apples Anna","Apples Anna","2020","","","","EiraField",""
